74574	76229
540798	542633
540798	542633
1081549	1081992
2721925	2723054
2721925	2723054
2721925	2723054
2721925	2723054
4106417	4107523
4106417	4107523
4106417	4107523
4106417	4107523
3033609	3034747
6258435	6259052
6258435	6259052
6448564	6449481
6448564	6449481
6448564	6449481
6448564	6449481
6448564	6449481
6448564	6449481
6448564	6449481
6504830	6505405
6504830	6505405
6504830	6505405
6504830	6505405
6504830	6505405
6640968	6642053
7456671	7457291
8317666	8319126
8317666	8319126
9634572	9635255
9634572	9635255
9634572	9635255
9634572	9635255
9634572	9635255
9432927	9433385
9432927	9433385
10529201	10529698
10529201	10529698
10529201	10529698
11146660	11147973
11504744	11507395
11522282	11522590
2237322	2238938
5708471	5709880
5708471	5709880
5708471	5709880
5708471	5709880
5708471	5709880
6733053	6733667
6733053	6733667
6733053	6733667
6733053	6733667
8491655	8494885
9548710	9549858
9548710	9549858
10906174	10906485
10906174	10906485
10906174	10906485
10923721	10926618
323781	325712
590280	593186
705623	709075
1073369	1074820
3375654	3378524
5062754	5063602
5872645	5874077
7365632	7367158
9378083	9379924
9378083	9379924
9378083	9379924
9383993	9385186
9779486	9780832
10724200	10726842
10913027	10915072
10913027	10915072
